from,to,text,type_link
lonparent_forum,carolecadwalla,"@carolecadwalla is right. An entire generationâ€™s future blighted by an #algorithm. 

Algorithmic bias = more disruption, if not seriously addressed. Policy makers &amp; politicians need to grip this. 

@MaryCreaghMP @AngelaRayner 
@schooltruth @tes @RealGeoffBarton #AlevelResults https://t.co/25umx0l39k",reply
antoniafrances,TheMisbourne,@TheMisbourne Please talk to MP @CherylGillan. She is paid to be a political representative for people who live in this area. #AlevelResults https://t.co/y2MbPzkuBN,reply
djopa9,UniKent,@UniKent I really hope you have continued a tradition of giving students a chance who didnâ€™t get the grades they deserved #AlevelResults You gave me one 18 years ago and now Iâ€™m applying for my first Headteacher role. #Darwin02-05 #LawandCriminology,reply
twittwootwiggy,FUCKOFFEE215,"@FUCKOFFEE215
 Can I just be certain that whatever my #AlevelResults were you will employ me based on my coffee making skills, no matter how many Es I've got?
Sincerely, Ebenezer Goode x",reply
PrincessPowPow_,GavinWilliamson,@GavinWilliamson #AlevelResults #alevels2020 #Results2020 https://t.co/bMdZhq3P24,reply
alisonwonder2,Andrew_Adonis,@Andrew_Adonis Totally agree. And the first should be @bathuniversity honouring Oliveâ€™s sonâ€™s place to study economics until the #AlevelResults apartheid downgraded him. Shame on them otherwise @NickFerrariLBC,reply
dnky27,ofqual,@ofqual and @GavinWilliamson  have downgraded a Spanish pupil from A* to a C despite him being from Spain and fluent. Idiots. #AlevelResults,reply
sxjxg,GavinWilliamson,@GavinWilliamson Really? Why are you now destroying the life chances of our young people? ALevel fiasco #AlevelResults #Alevelshambles #alevelresults2020 @BorisJohnson @AlbertoCostaMP @Keir_Starmer @MattLCapon @GavinWilliamson,reply
DNewtonC,CarolineVoaden,"@CarolineVoaden Oh goodness. That is really bad news.

Fingers crossed on the A level  Appeal front.

#AlevelResults",reply
politicsastar,CalmHolmes,@CalmHolmes @Tobias_Ellwood @ConorBurnsUK ... and others around the country. Here Yorkâ€™s Julian Sturdy has also spoken out. #AlevelResults #alevels2020,reply
politicsastar,CalmHolmes,@CalmHolmes @Tobias_Ellwood @ConorBurnsUK ... and others around the country. Here Yorkâ€™s Julian Sturdy has also spoken out. #AlevelResults #alevels2020,reply
WeaselRocking,HoingClaire,@HoingClaire @Keir_Starmer Itâ€™s NOT the first time - Comprehensives in the late 1970â€™s suffered â€œcorrectedâ€ exam grades by #Cambridge Exam Board when teachers and students hard work started to produce above average results #AlevelResults #examshambles #ExamResults,reply
elizabethf100,SomervilleOx,"@SomervilleOx, where are we on this? Weâ€™ve always been a forward thinking college: letâ€™s not fall behind now. #AlevelResults https://t.co/IBEkgVT2UN",reply
celticchickadee,grantshapps,@grantshapps  didnâ€™t you say on tv this morning that you had asked unis to hold places for people whose grades are susoect? So how come people are just being rejected and losing their place right now? #AlevelResults,reply
BOBTAYL01081689,AngelaRayner,"@AngelaRayner The entire @UKLabour MPs in the house need to actively protest outside Parliament with affected #AlevelResults students and next weeks #gcse2020 students
Refuse to sit until grades are awarded as per teacher assessment",reply
EthanJakle,EthanJakle,"Just to note: If theyre basing them upon AS levels that we may or may not have done...theyre saying we have made zero progress in a year and only studied half of the course??? Just trust the damn teachers, they know how to do their jobs and are very good it at!! #AlevelResults",reply
robbcorin,davemacladd,"@davemacladd I know.'it's so unfair'.
#AlevelResults https://t.co/2hSg3bOnpq",reply
UnpuzzFinance,florelst,"@florelst Sorry to read this and I hope your appeal is successful. If not, then remember what is yours will never pass you by. Take a step back and assess another route to where you want to be. Successful people don't fail - they learn and take themselves higher. #AlevelResults #alevels",reply
ChristineJameis,JamesEFoster,"@JamesEFoster @andywartrol @LaylaMoran @Keir_Starmer Fight for the pupils and if you do, you will get support.  But your lacklustre performance is your downfall.  #AlevelResults",reply
AngryNotTory,elishaleann87,"@elishaleann87 If this doesnâ€™t spur youth to see they are just a cog in the capitalist machine...I donâ€™t know what will. #ALevelResults 
Wait till next week when #gcseResults trends....",reply
iainbharper,ShelaghFogarty,@ShelaghFogarty Whatever they may have received back then will still be a damn sight better than their current grades.....!!!!!! #AlevelResults #ALevelProtests #ALevelPlayingField,reply
aneraser,GavinWilliamson,"@gavinwilliamson unlike most of your colleagues you didnt swan into politics just cos you went to Eton. This could have been you.  Sort it out
RT @florelst: I am begging you to retweet this. Please. My life is ruined.
#AlevelResults #alevels2020 #alevels https://t.co/1ysnsGiyea",reply
Mirkasher31,MarxMedia,@MarxMedia @AngelaRayner Warm words  alone on #AlevelResults disgraceful injustice from @AngelaRayner will not help the affectec students.,reply
judith27128602,kwerkyknits,@kwerkyknits @GavinWilliamson @BorisJohnson @ofqual This is a terribly unfair way to treat so many young people. Iâ€™m so sorry for you and particularly for your hardworking daughter. ðŸ˜” It must be heartbreaking. I hope that things work out and she can get what she deserves. ðŸ™ #examshambles  #AlevelResults,reply
_ChrisDotMe,GavinWilliamson,@GavinWilliamson do more. Youâ€™ve disadvantaged tens of thousands of students. Waving an appeals fee when these student do not even know if they can appeal is just showing that you are trying to cover up this injustice. #ToryShambles #AlevelResults #alevels2020,reply
